Date,Country/Territory/Area,Total confirmed cases,Total confirmed new cases,Total deaths,Total new deaths,Transmition classification,Days since last reported case
2020-03-03,The United Kingdom,39,3,0,0,Local transmission,0
2020-03-03,Switzerland,30,6,0,0,Local transmission,0
2020-03-03,Norway,25,6,0,0,Local transmission,0
2020-03-03,Austria,18,8,0,0,Imported cases only,0
2020-03-03,Netherlands,18,5,0,0,Local transmission,0
2020-03-03,Sweden,15,1,0,0,Local transmission,0
2020-03-03,Israel,10,3,0,0,Local transmission,0
2020-03-03,Croatia,8,2,0,0,Local transmission,0
2020-03-03,Iceland,9,7,0,0,Imported cases only,0
2020-03-03,San Marino,8,7,0,0,Local transmission,0
2020-03-03,Belgium,8,7,0,0,Imported cases only,0
2020-03-03,Finland,7,1,0,0,Local transmission,0
2020-03-03,Greece,7,0,0,0,Local transmission,1
2020-03-03,Denmark,5,1,0,0,Local transmission,0
2020-03-03,Azerbaijan,3,0,0,0,Imported cases only,2
2020-03-03,Czechia,3,0,0,0,Imported cases only,1
2020-03-03,Georgia,3,0,0,0,Imported cases only,2
2020-03-03,Romania,3,0,0,0,Imported cases only,3
2020-03-03,Russian Federation,3,1,0,0,Imported cases only,0
2020-03-03,Portugal,2,2,0,0,Imported cases only,0
2020-03-03,Andorra,1,1,0,0,Imported cases only,0
2020-03-03,Armenia,1,0,0,0,Imported cases only,1
2020-03-03,Belarus,1,0,0,0,Imported cases only,4
2020-03-03,Estonia,1,0,0,0,Imported cases only,5
2020-03-03,Ireland,1,0,0,0,Imported cases only,2
2020-03-03,Latvia,1,1,0,0,Imported cases only,0
2020-03-03,Lithuania,1,0,0,0,Imported cases only,4
2020-03-03,Luxembourg,1,0,0,0,Imported cases only,1
2020-03-03,Monaco,1,0,0,0,Under investigation,2
2020-03-03,North Macedonia,1,0,0,0,Imported cases only,6
2020-03-03,Thailand,43,1,1,0,Local transmission,0
2020-03-03,India,5,2,0,0,Imported cases only,0
2020-03-12,Republic of Korea,7869,114,66,6,Local transmission,0
2020-03-12,Japan,620,52,15,3,Local transmission,0
2020-03-12,Singapore,178,12,0,0,Local transmission,0
2020-03-12,Malaysia,129,0,0,0,Local transmission,1
2020-03-12,Australia,122,10,3,0,Local transmission,0
